"";"raster_id";"shape_index";"FWIclass";"julday";"per_fc";"yearf";"feco";"fgener";"fresp";"area";"perimeter";"ftype"
"197";"NIP323_2006_1607_rbr";1,687010761;"Extreme";251;51,0838624917889;2006;"Lake Nipigon";"LTG";"FUL";15030349,04;26161,4841;"IFR"
"198";"NIP328_2006_1608_rbr";1,7518428;"Moderate";251;87,9591063990913;2006;"Lake Nipigon";"LTG";"FUL";2201405,595;10396,93088;"IFR"
"199";"NIP296_2006_1609_rbr";1,425706328;"Moderate";251;49,7390891840608;2006;"Lake Nipigon";"LTG";"FUL";3483323,403;10643,56134;"IFR"
"200";"THU189_2006_1610_rbr";2,674087669;"Moderate";251;73,3970753655793;2006;"Lake Nipigon";"LTG";"FUL";4480303,268;22640,67334;"IFR"
"201";"NIP291_2006_1611_rbr";1,644013712;"High";250;99,7134670487106;2006;"Lake Nipigon";"LTG";"MON";589710,8618;5049,925723;"IFR"
"202";"NIP404_2006_1612_rbr";1,130337023;"High";250;97,5393700787401;2006;"Lake Nipigon";"LTG";"MON";857795,644;4187,548617;"IFR"
"203";"NIP400_2006_1613_rbr";1,579740544;"High";250;99,8254799301919;2006;"Lake Nipigon";"LTG";"MON";491341,6201;4429,324846;"IFR"
"204";"NIP341_2006_1614_rbr";2,368165281;"Extreme";251;99,7165800661313;2006;"Lake Nipigon";"LTG";"MON";1773157,375;12613,79134;"IFR"
"205";"NIP402_2006_1615_rbr";1,365337145;"High";251;99,6889580093313;2006;"Lake Nipigon";"LTG";"MON";543944,1675;4027,884969;"IFR"
"206";"NIP334_2006_1616_rbr";1,67715528;"High";250;96,4391691394659;2006;"Lake Nipigon";"LTG";"MON";1135793,016;7149,618392;"IFR"
"207";"RED146_2006_1628_rbr";2,776108612;"Low";233;79,6757523699567;2006;"Lake St. Joseph";"LTG";"MON";239163315,6;171729,0342;"IFR"
"208";"THU185_2006_1633_rbr";2,011851615;"Extreme";250;65,4171894604768;2006;"Lake Nipigon";"LTG";"FUL";10486426,59;26059,71715;"IFR"
"209";"THU142_2006_1634_rbr";2,036430861;"High";251;66,7319532560516;2006;"Lake Nipigon";"LTG";"MON";91118572,13;77755,85729;"IFR"
"210";"THU234_2006_1635_rbr";1,581468484;"High";255;98,4386089425125;2006;"Lake Nipigon";"LTG";"MON";1167081,292;6833,938821;"IFR"
"211";"THU190_2006_1636_rbr";2,205339897;"Moderate";253;99,4221508828251;2006;"Lake Nipigon";"LTG";"MON";2643230,786;14341,78038;"IFR"
"212";"THU144_2006_1638_rbr";2,360012213;"Extreme";250;91,5635313531353;2006;"Lake Nipigon";"LTG";"FUL";24932413,97;47136,39953;"IFR"
"213";"THU249_2006_1639_rbr";1,263525169;"Moderate";252;53,1697341513292;2006;"Lake Nipigon";"LTG";"FUL";398029,946;3188,612634;"IFR"
"214";"THU163_2006_1640_rbr";2,422014073;"Extreme";250;55,8659217877095;2006;"Lake Nipigon";"LTG";"FUL";27751220,9;51036,12598;"IFR"
"215";"NIP267_2006_1641_rbr";1,377336555;"Extreme";250;99,9999999999999;2006;"Lake Nipigon";"LTG";"MON";571105,094;4163,495332;"IFR"
"216";"THU143_2006_1642_rbr";2,08816268;"Extreme";251;64,6156503713941;2006;"Lake Nipigon";"LTG";"FUL";24162705,97;41057,93526;"IFR"
"217";"NIP344_2006_1643_rbr";1,865914639;"Low";252;43,556338028169;2006;"Lake Nipigon";"LTG";"FUL";6980899,494;19720,02476;"IFR"
"218";"NIP226_2006_1644_rbr";1,092852617;"High";250;99,6412556053812;2006;"Lake Nipigon";"LTG";"FUL";998405,8967;4367,924838;"IFR"
"219";"NIP415_2006_1645_rbr";1,265683521;"High";250;100;2006;"Lake Nipigon";"LTG";"MON";594510,2659;3903,595387;"IFR"
"220";"NIP428_2006_1646_rbr";1,533288755;"Extreme";250;76,3162177557165;2006;"Lake Nipigon";"LTG";"MON";20138130,32;27522,85712;"IFR"
"221";"THU184_2006_1647_rbr";1,630651455;"Extreme";250;80,1929860967006;2006;"Lake Nipigon";"LTG";"MON";7917293,533;18353,10321;"IFR"
"222";"NIP414_2006_1648_rbr";2,055098903;"High";250;97,2441635948746;2006;"Lake Nipigon";"LTG";"FUL";9664898,872;25555,91151;"IFR"
"223";"THU151_2006_1650_rbr";1,171493178;"Extreme";250;97,6290097629009;2006;"Lake Nipigon";"LTG";"FUL";599038,8635;3626,830462;"IFR"
"224";"NIP108_2006_1651_rbr";1,757249174;"Moderate";199;98,6666666666666;2006;"Lake Nipigon";"LTG";"FUL";384766,4604;4360,054755;"IFR"
"225";"THU176_2006_1652_rbr";1,177282358;"Extreme";250;90,8661417322835;2006;"Lake Nipigon";"LTG";"FUL";530588,2092;3430,199859;"IFR"
"226";"THU167_2006_1653_rbr";1,668102483;"High";251;100;2006;"Lake Nipigon";"LTG";"FUL";1959582,686;9340,379392;"IFR"
"227";"NIP276_2006_1655_rbr";1,682366889;"High";250;70,8676684440136;2006;"Lake Nipigon";"LTG";"MON";1700517,754;8775,488248;"IFR"
"228";"NIP413_2006_1656_rbr";1,331585915;"High";250;22,0307029356315;2006;"Lake Nipigon";"LTG";"MON";6370916,991;13444,05119;"IFR"
"229";"NIP411_2006_1657_rbr";1,58027791;"High";250;84,935830002104;2006;"Lake Nipigon";"LTG";"FUL";7948289,229;17820,92703;"IFR"
"230";"SLK11_2007_1658_rbr";3,774773076;"Extreme";129;83,5615643775891;2007;"Lake Nipigon";"RWY";"FUL";177689645,9;201271,3228;"IFR"
"231";"DRY10_2007_1659_rbr";1,448673028;"High";125;79,5226130653266;2007;"Lake Wabigoon";"MIS";"FUL";670213,7825;4743,916575;"IFR"
"232";"NIP26_2007_1660_rbr";2,186720389;"High";130;90,2311707680836;2007;"Lake Nipigon";"LTG";"FUL";1145308,873;9360,834312;"IFR"
"233";"THU39_2007_1661_rbr";2,708613114;"Extreme";133;88,92455858748;2007;"Lake Nipigon";"UNK";"FUL";6858607,802;28374,28671;"IFR"
"234";"THU37_2007_1662_rbr";4,452744362;"High";129;89,3424322312903;2007;"Pigeon River";"REC";"FUL";139108652,6;210070,3823;"IFR"
